date,bitkub_unscaled,bitkub_monthly,isPartial,scale,bitkub
2021-10-20,0,0.0,,0.0,0.0
2021-10-21,0,0.0,,0.0,0.0
2021-10-22,73,0.0,,0.0,0.0
2021-10-23,0,0.0,,0.0,0.0
2021-10-24,0,36.0,False,0.36,0.0
2021-10-25,0,36.0,,0.36,0.0
2021-10-26,66,36.0,,0.36,23.759999999999998
2021-10-27,0,36.0,,0.36,0.0
2021-10-28,100,36.0,,0.36,36.0
2021-10-29,69,36.0,,0.36,24.84
2021-10-30,0,36.0,,0.36,0.0
2021-10-31,0,0.0,False,0.0,0.0
2021-11-01,0,0.0,,0.0,0.0
2021-11-02,0,0.0,,0.0,0.0
2021-11-03,82,0.0,,0.0,0.0
2021-11-04,0,0.0,,0.0,0.0
2021-11-05,100,0.0,,0.0,0.0
2021-11-06,0,0.0,,0.0,0.0
2021-11-07,0,0.0,False,0.0,0.0
2021-11-08,64,0.0,,0.0,0.0
2021-11-09,52,0.0,,0.0,0.0
2021-11-10,0,0.0,,0.0,0.0
2021-11-11,0,0.0,,0.0,0.0
2021-11-12,0,0.0,,0.0,0.0
2021-11-13,0,0.0,,0.0,0.0
2021-11-14,0,0.0,False,0.0,0.0
2021-11-15,0,0.0,,0.0,0.0
2021-11-16,0,0.0,,0.0,0.0
2021-11-17,0,0.0,,0.0,0.0
2021-11-18,0,0.0,,0.0,0.0
2021-11-19,0,0.0,,0.0,0.0
2021-11-20,0,0.0,,0.0,0.0
2021-11-21,0,68.0,False,0.68,0.0
2021-11-22,58,68.0,,0.68,39.440000000000005
2021-11-23,0,68.0,,0.68,0.0
2021-11-24,64,68.0,,0.68,43.52
2021-11-25,50,68.0,,0.68,34.0
2021-11-26,0,68.0,,0.68,0.0
2021-11-27,0,68.0,,0.68,0.0
2021-11-28,67,45.0,False,0.45,30.150000000000002
2021-11-29,0,45.0,,0.45,0.0
2021-11-30,0,45.0,,0.45,0.0
2021-12-01,0,45.0,,0.45,0.0
2021-12-02,0,45.0,,0.45,0.0
2021-12-03,0,45.0,,0.45,0.0
2021-12-04,47,45.0,,0.45,21.150000000000002
2021-12-05,51,33.0,False,0.33,16.830000000000002
2021-12-06,0,33.0,,0.33,0.0
2021-12-07,0,33.0,,0.33,0.0
2021-12-08,0,33.0,,0.33,0.0
2021-12-09,29,33.0,,0.33,9.57
2021-12-10,0,33.0,,0.33,0.0
2021-12-11,0,33.0,,0.33,0.0
2021-12-12,97,53.0,False,0.53,51.410000000000004
2021-12-13,0,53.0,,0.53,0.0
2021-12-14,100,53.0,,0.53,53.0
2021-12-15,0,53.0,,0.53,0.0
2021-12-16,0,53.0,,0.53,0.0
2021-12-17,0,53.0,,0.53,0.0
2021-12-18,0,53.0,,0.53,0.0
2021-12-19,0,0.0,False,0.0,0.0
2021-12-20,0,0.0,,0.0,0.0
2021-12-21,55,0.0,,0.0,0.0
2021-12-22,0,0.0,,0.0,0.0
2021-12-23,0,0.0,,0.0,0.0
2021-12-24,0,0.0,,0.0,0.0
2021-12-25,0,0.0,,0.0,0.0
2021-12-26,0,25.0,False,0.25,0.0
2021-12-27,0,25.0,,0.25,0.0
2021-12-28,46,25.0,,0.25,11.5
2021-12-29,0,25.0,,0.25,0.0
2021-12-30,0,25.0,,0.25,0.0
2021-12-31,0,25.0,,0.25,0.0
2022-01-01,0,25.0,,0.25,0.0
2022-01-02,0,0.0,False,0.0,0.0
2022-01-03,0,0.0,,0.0,0.0
2022-01-04,0,0.0,,0.0,0.0
2022-01-05,0,0.0,,0.0,0.0
2022-01-06,0,0.0,,0.0,0.0
2022-01-07,0,0.0,,0.0,0.0
2022-01-08,0,0.0,,0.0,0.0
2022-01-09,89,0.0,False,0.0,0.0
2022-01-10,0,0.0,,0.0,0.0
2022-01-11,0,0.0,,0.0,0.0
2022-01-12,0,0.0,,0.0,0.0
2022-01-13,52,0.0,,0.0,0.0
2022-01-14,0,0.0,,0.0,0.0
2022-01-15,69,0.0,,0.0,0.0
2022-01-16,42,0.0,False,0.0,0.0
2022-01-17,33,0.0,,0.0,0.0
2022-01-18,0,0.0,,0.0,0.0
2022-01-19,0,0.0,,0.0,0.0
2022-01-20,0,0.0,,0.0,0.0
2022-01-21,0,0.0,,0.0,0.0
2022-01-22,100,0.0,,0.0,0.0
2022-01-23,0,0.0,False,0.0,0.0
2022-01-24,0,0.0,,0.0,0.0
2022-01-25,0,0.0,,0.0,0.0
2022-01-26,0,0.0,,0.0,0.0
2022-01-27,0,0.0,,0.0,0.0
2022-01-28,0,0.0,,0.0,0.0
2022-01-29,0,0.0,,0.0,0.0
2022-01-30,0,29.0,False,0.29,0.0
2022-01-31,0,29.0,,0.29,0.0
2022-02-01,0,29.0,,0.29,0.0
2022-02-02,34,29.0,,0.29,9.86
2022-02-03,0,29.0,,0.29,0.0
2022-02-04,0,29.0,,0.29,0.0
2022-02-05,0,29.0,,0.29,0.0
2022-02-06,0,24.0,False,0.24,0.0
2022-02-07,0,24.0,,0.24,0.0
2022-02-08,0,24.0,,0.24,0.0
2022-02-09,0,24.0,,0.24,0.0
2022-02-10,0,24.0,,0.24,0.0
2022-02-11,0,24.0,,0.24,0.0
2022-02-12,42,24.0,,0.24,10.08
2022-02-13,34,0.0,False,0.0,0.0
2022-02-14,0,0.0,,0.0,0.0
2022-02-15,0,0.0,,0.0,0.0
2022-02-16,30,0.0,,0.0,0.0
2022-02-17,0,0.0,,0.0,0.0
2022-02-18,100,0.0,,0.0,0.0
2022-02-19,0,0.0,,0.0,0.0
2022-02-20,0,0.0,False,0.0,0.0
2022-02-21,0,0.0,,0.0,0.0
2022-02-22,0,0.0,,0.0,0.0
2022-02-23,0,0.0,,0.0,0.0
2022-02-24,0,0.0,,0.0,0.0
2022-02-25,0,0.0,,0.0,0.0
2022-02-26,0,0.0,,0.0,0.0
2022-02-27,76,0.0,False,0.0,0.0
2022-02-28,0,0.0,,0.0,0.0
2022-03-01,0,0.0,,0.0,0.0
2022-03-02,100,0.0,,0.0,0.0
2022-03-03,0,0.0,,0.0,0.0
2022-03-04,0,0.0,,0.0,0.0
2022-03-05,0,0.0,,0.0,0.0
2022-03-06,0,0.0,False,0.0,0.0
2022-03-07,0,0.0,,0.0,0.0
2022-03-08,0,0.0,,0.0,0.0
2022-03-09,86,0.0,,0.0,0.0
2022-03-10,0,0.0,,0.0,0.0
2022-03-11,0,0.0,,0.0,0.0
2022-03-12,0,0.0,,0.0,0.0
2022-03-13,0,0.0,False,0.0,0.0
2022-03-14,0,0.0,,0.0,0.0
2022-03-15,0,0.0,,0.0,0.0
2022-03-16,0,0.0,,0.0,0.0
2022-03-17,0,0.0,,0.0,0.0
2022-03-18,0,0.0,,0.0,0.0
2022-03-19,69,0.0,,0.0,0.0
2022-03-20,0,50.0,False,0.5,0.0
2022-03-21,0,50.0,,0.5,0.0
2022-03-22,0,50.0,,0.5,0.0
2022-03-23,0,50.0,,0.5,0.0
2022-03-24,0,50.0,,0.5,0.0
2022-03-25,59,50.0,,0.5,29.5
2022-03-26,0,50.0,,0.5,0.0
2022-03-27,0,18.0,False,0.18,0.0
2022-03-28,0,18.0,,0.18,0.0
2022-03-29,0,18.0,,0.18,0.0
2022-03-30,0,18.0,,0.18,0.0
2022-03-31,54,18.0,,0.18,9.719999999999999
2022-04-01,80,18.0,,0.18,14.399999999999999
2022-04-02,0,18.0,,0.18,0.0
2022-04-03,0,65.0,False,0.65,0.0
2022-04-04,62,65.0,,0.65,40.300000000000004
2022-04-05,0,65.0,,0.65,0.0
2022-04-06,0,65.0,,0.65,0.0
2022-04-07,0,65.0,,0.65,0.0
2022-04-08,0,65.0,,0.65,0.0
2022-04-09,0,65.0,,0.65,0.0
2022-04-10,0,0.0,False,0.0,0.0
2022-04-11,0,0.0,,0.0,0.0
2022-04-12,0,0.0,,0.0,0.0
2022-04-13,0,0.0,,0.0,0.0
2022-04-14,0,0.0,,0.0,0.0
2022-04-15,0,0.0,,0.0,0.0
2022-04-16,87,0.0,,0.0,0.0
2022-04-17,70,0.0,False,0.0,0.0
2022-04-18,0,0.0,,0.0,0.0
2022-04-19,0,0.0,,0.0,0.0
2022-04-20,0,0.0,,0.0,0.0
2022-04-21,0,0.0,,0.0,0.0
2022-04-22,0,0.0,,0.0,0.0
2022-04-23,0,0.0,,0.0,0.0
2022-04-24,0,18.0,False,0.18,0.0
2022-04-25,100,18.0,,0.18,18.0
2022-04-26,0,18.0,,0.18,0.0
2022-04-27,0,18.0,,0.18,0.0
2022-04-28,0,18.0,,0.18,0.0
2022-04-29,98,18.0,,0.18,17.64
2022-04-30,67,18.0,,0.18,12.059999999999999
2022-05-01,0,36.0,False,0.36,0.0
2022-05-02,0,36.0,,0.36,0.0
2022-05-03,0,36.0,,0.36,0.0
2022-05-04,0,36.0,,0.36,0.0
2022-05-05,97,36.0,,0.36,34.92
2022-05-06,0,36.0,,0.36,0.0
2022-05-07,0,36.0,,0.36,0.0
2022-05-08,0,0.0,False,0.0,0.0
2022-05-09,0,0.0,,0.0,0.0
2022-05-10,0,0.0,,0.0,0.0
2022-05-11,0,0.0,,0.0,0.0
2022-05-12,0,0.0,,0.0,0.0
2022-05-13,0,0.0,,0.0,0.0
2022-05-14,0,0.0,,0.0,0.0
2022-05-15,0,0.0,False,0.0,0.0
2022-05-16,100,0.0,,0.0,0.0
2022-05-17,0,0.0,,0.0,0.0
2022-05-18,0,0.0,,0.0,0.0
2022-05-19,0,0.0,,0.0,0.0
2022-05-20,0,0.0,,0.0,0.0
2022-05-21,0,0.0,,0.0,0.0
2022-05-22,0,0.0,False,0.0,0.0
2022-05-23,0,0.0,,0.0,0.0
2022-05-24,0,0.0,,0.0,0.0
2022-05-25,0,0.0,,0.0,0.0
2022-05-26,0,0.0,,0.0,0.0
2022-05-27,0,0.0,,0.0,0.0
2022-05-28,0,0.0,,0.0,0.0
2022-05-29,0,37.0,False,0.37,0.0
2022-05-30,0,37.0,,0.37,0.0
2022-05-31,0,37.0,,0.37,0.0
2022-06-01,0,37.0,,0.37,0.0
2022-06-02,0,37.0,,0.37,0.0
2022-06-03,0,37.0,,0.37,0.0
2022-06-04,0,37.0,,0.37,0.0
2022-06-05,0,0.0,False,0.0,0.0
2022-06-06,41,0.0,,0.0,0.0
2022-06-07,0,0.0,,0.0,0.0
2022-06-08,0,0.0,,0.0,0.0
2022-06-09,0,0.0,,0.0,0.0
2022-06-10,0,0.0,,0.0,0.0
2022-06-11,0,0.0,,0.0,0.0
2022-06-12,0,0.0,False,0.0,0.0
2022-06-13,0,0.0,,0.0,0.0
2022-06-14,0,0.0,,0.0,0.0
2022-06-15,0,0.0,,0.0,0.0
2022-06-16,0,0.0,,0.0,0.0
2022-06-17,0,0.0,,0.0,0.0
2022-06-18,47,0.0,,0.0,0.0
2022-06-19,0,28.0,False,0.28,0.0
2022-06-20,0,28.0,,0.28,0.0
2022-06-21,0,28.0,,0.28,0.0
2022-06-22,0,28.0,,0.28,0.0
2022-06-23,52,28.0,,0.28,14.560000000000002
2022-06-24,0,28.0,,0.28,0.0
2022-06-25,0,28.0,,0.28,0.0
2022-06-26,0,0.0,False,0.0,0.0
2022-06-27,0,0.0,,0.0,0.0
2022-06-28,100,0.0,,0.0,0.0
2022-06-29,0,0.0,,0.0,0.0
2022-06-30,0,0.0,,0.0,0.0
2022-07-01,0,0.0,,0.0,0.0
2022-07-02,48,0.0,,0.0,0.0
2022-07-03,0,0.0,False,0.0,0.0
2022-07-04,54,0.0,,0.0,0.0
2022-07-05,0,0.0,,0.0,0.0
2022-07-06,25,0.0,,0.0,0.0
2022-07-07,0,0.0,,0.0,0.0
2022-07-08,0,0.0,,0.0,0.0
2022-07-09,0,0.0,,0.0,0.0
2022-07-10,0,0.0,False,0.0,0.0
2022-07-11,0,0.0,,0.0,0.0
2022-07-12,17,0.0,,0.0,0.0
2022-07-13,0,0.0,,0.0,0.0
2022-07-14,0,0.0,,0.0,0.0
2022-07-15,0,0.0,,0.0,0.0
2022-07-16,0,0.0,,0.0,0.0
2022-07-17,26,0.0,False,0.0,0.0
2022-07-18,0,0.0,,0.0,0.0
2022-07-19,17,0.0,,0.0,0.0
2022-07-20,0,0.0,,0.0,0.0
2022-07-21,0,0.0,,0.0,0.0
2022-07-22,0,0.0,,0.0,0.0
2022-07-23,0,0.0,,0.0,0.0
2022-07-24,40,0.0,False,0.0,0.0
2022-07-25,0,0.0,,0.0,0.0
2022-07-26,0,0.0,,0.0,0.0
2022-07-27,0,0.0,,0.0,0.0
2022-07-28,0,0.0,,0.0,0.0
2022-07-29,0,0.0,,0.0,0.0
2022-07-30,0,0.0,,0.0,0.0
2022-07-31,100,0.0,False,0.0,0.0
2022-08-01,100,0.0,,0.0,0.0
2022-08-02,0,0.0,,0.0,0.0
2022-08-03,0,0.0,,0.0,0.0
2022-08-04,46,0.0,,0.0,0.0
2022-08-05,0,0.0,,0.0,0.0
2022-08-06,0,0.0,,0.0,0.0
2022-08-07,0,0.0,False,0.0,0.0
2022-08-08,0,0.0,,0.0,0.0
2022-08-09,0,0.0,,0.0,0.0
2022-08-10,64,0.0,,0.0,0.0
2022-08-11,0,0.0,,0.0,0.0
2022-08-12,0,0.0,,0.0,0.0
2022-08-13,0,0.0,,0.0,0.0
2022-08-14,0,0.0,False,0.0,0.0
2022-08-15,0,0.0,,0.0,0.0
2022-08-16,35,0.0,,0.0,0.0
2022-08-17,0,0.0,,0.0,0.0
2022-08-18,0,0.0,,0.0,0.0
2022-08-19,42,0.0,,0.0,0.0
2022-08-20,0,0.0,,0.0,0.0
2022-08-21,0,88.0,False,0.88,0.0
2022-08-22,0,88.0,,0.88,0.0
2022-08-23,0,88.0,,0.88,0.0
2022-08-24,0,88.0,,0.88,0.0
2022-08-25,38,88.0,,0.88,33.44
2022-08-26,0,88.0,,0.88,0.0
2022-08-27,0,88.0,,0.88,0.0
2022-08-28,0,27.0,False,0.27,0.0
2022-08-29,0,27.0,,0.27,0.0
2022-08-30,0,27.0,,0.27,0.0
2022-08-31,0,27.0,,0.27,0.0
2022-09-01,0,27.0,,0.27,0.0
2022-09-02,0,27.0,,0.27,0.0
2022-09-03,0,27.0,,0.27,0.0
2022-09-04,100,0.0,True,0.0,0.0
